City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Lodhran,PK,2021-01-19 19:27:37,29.5405,71.6336,55.0,37,0,2.89
67,Cidreira,BR,2021-01-19 19:27:37,-30.1811,-50.2056,75.6,59,0,12.35
68,Luanda,AO,2021-01-19 19:27:37,-8.8368,13.2343,78.8,73,40,5.75
69,Hokitika,NZ,2021-01-19 19:27:37,-42.7167,170.9667,52.47,76,99,19.89
70,Avarua,CK,2021-01-19 19:25:04,-21.2078,-159.775,84.2,74,40,8.05
71,Loandjili,CG,2021-01-19 19:27:38,-4.7561,11.8578,82.4,83,20,4.61
72,Semey,KZ,2021-01-19 19:27:38,50.4111,80.2275,6.66,91,96,5.53
73,Ambilobe,MG,2021-01-19 19:27:38,-13.2,49.05,74.03,93,100,6.44
74,Hofn,IS,2021-01-19 19:24:29,64.2539,-15.2082,37.29,77,0,24.32
75,Khatanga,RU,2021-01-19 19:24:07,71.9667,102.5,-28.41,85,100,7.11
76,Punta Arenas,CL,2021-01-19 19:27:38,-53.15,-70.9167,60.8,55,20,10.36
77,Mount Gambier,AU,2021-01-19 19:23:27,-37.8333,140.7667,42.8,100,0,6.91
78,Picota,PE,2021-01-19 19:27:38,-6.9197,-76.3304,89.6,65,75,11.5
79,Luderitz,NA,2021-01-19 19:27:38,-26.6481,15.1594,72.57,58,0,24.56
80,Wichita Falls,US,2021-01-19 19:23:17,33.9137,-98.4934,50.0,43,1,18.41
81,Lagoa,PT,2021-01-19 19:27:39,39.05,-27.9833,58.64,70,100,28.79
82,Ngunguru,NZ,2021-01-19 19:27:39,-35.6167,174.5,62.01,92,100,5.99
83,Longyearbyen,SJ,2021-01-19 19:22:48,78.2186,15.6401,19.4,63,75,13.8
84,Saint-Philippe,RE,2021-01-19 19:27:39,-21.3585,55.7679,84.2,70,75,3.44
85,Kantang,TH,2021-01-19 19:27:39,7.4054,99.5156,71.89,87,86,3.76
86,Buala,SB,2021-01-19 19:27:39,-8.145,159.5921,80.56,78,100,6.08
87,Cape Town,ZA,2021-01-19 19:22:47,-33.9258,18.4232,68.0,72,20,21.85
88,Broome,US,2021-01-19 19:27:39,42.2506,-75.833,35.01,64,90,17.27
89,Torbay,CA,2021-01-19 19:24:06,47.6666,-52.7314,37.0,87,75,13.8
