City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
221,Cururupu,BR,77.02,-1.8283,-44.8683,Pousada Través'cia
224,Koumac,NC,80.22,-20.5667,164.2833,Le Monitel
225,San Patricio,US,78.8,28.017,-97.5169,"Motel 6 Sinton, TX"
229,Saquena,PE,83.21,-4.6667,-73.5167,
230,Viljoenskroon,ZA,71.01,-27.2084,26.9485,DIE LAPA
232,Saint-Leu,RE,78.8,-21.15,55.2833,La Caz Oceane
233,Marawi,PH,75.0,7.9986,124.2928,Derogongan Residence
234,Alofi,NU,82.4,-19.0595,-169.9187,Taloa Heights
237,Ojinaga,MX,75.99,29.5667,-104.4167,Suites Las Palmas
238,Camapua,BR,78.84,-19.5314,-54.0439,Comercial Estrela
247,Tulum,MX,82.4,20.2167,-87.4667,Kin Ha Tulum
250,Binga,ZW,73.38,-17.6203,27.3414,Lakeview Inn Binga
254,Pisco,PE,80.6,-13.7,-76.2167,Hotel San Isidro Oficial
255,Bonfim,BR,87.33,3.0833,-59.95,
262,Eldorado,BR,76.8,-23.7869,-54.2836,Villa Verde Hotel
264,Samarai,PG,78.35,-10.6167,150.6667,Nuli Sapi
267,Bonthe,SL,77.94,7.5264,-12.505,Bonthe Holiday Village
271,Carutapera,BR,77.45,-1.195,-46.02,Lidera
272,Dapdap,PH,77.92,12.062000000000001,125.4881,Oasis Lodge
273,Celestun,MX,83.05,20.8667,-90.4,Posada Lilia
274,Unai,BR,78.76,-16.3575,-46.9061,Hotel Regente
276,Eydhafushi,MV,80.64,5.1033,73.0708,Soneva Fushi
277,Moree,AU,73.4,-29.4667,149.85,Molika Springs Motel
279,Bontang,ID,76.33,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
280,Sola,VU,78.8,-13.8833,167.55,Leumerus Bungalows
281,Comodoro Rivadavia,AR,78.8,-45.8667,-67.5,Austral Hotel
296,San Miguelito,PA,89.6,9.0333,-79.5,Sheraton Grand Panama
297,Esmeraldas,BR,80.6,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
298,Chuy,UY,77.74,-33.6971,-53.4616,Nuevo Hotel Plaza
302,Maceio,BR,80.6,-9.6658,-35.7353,Hotel Ponta Verde Maceió
307,Progreso,MX,87.01,21.2833,-89.6667,Playa Linda Hotel
308,Galle,LK,73.62,6.0367,80.217,Amangalla
309,Conceicao Do Araguaia,BR,84.52,-8.2578,-49.2647,Tarumã Tropical Hotel
310,Sao Filipe,CV,72.05,14.8961,-24.4956,Tortuga B&B
316,Morgan City,US,75.99,29.6994,-91.2068,Hampton Inn & Suites Morgan City
318,Bengkulu,ID,77.63,-3.8004,102.2655,Grage Hotel Bengkulu
321,Inirida,CO,84.22,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
322,Tual,ID,83.93,-5.6667,132.75,Grand Vilia Hotel
328,Sembe,CG,76.08,1.6481,14.5806,
332,Beloha,MG,76.41,-25.1667,45.05,
